2023-05-16 13:36:54 startup archives unpack
2023-05-16 13:36:56 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2023-05-16 13:36:56 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2023-05-16 13:36:58 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2023-05-16 13:37:00 install libgdbm6:arm64 <none> 1.19-2
2023-05-16 13:37:00 status triggers-pending libc-bin:arm64 2.31-13+deb11u6
2023-05-16 13:37:00 status half-installed libgdbm6:arm64 1.19-2
2023-05-16 13:37:00 status unpacked libgdbm6:arm64 1.19-2
2023-05-16 13:37:01 install libgdbm-compat4:arm64 <none> 1.19-2
2023-05-16 13:37:01 status half-installed libgdbm-compat4:arm64 1.19-2
2023-05-16 13:37:04 status unpacked libgdbm-compat4:arm64 1.19-2
2023-05-16 13:37:09 install libperl5.32:arm64 <none> 5.32.1-4+deb11u2
2023-05-16 13:37:09 status half-installed libperl5.32:arm64 5.32.1-4+deb11u2
2023-05-16 13:37:29 status unpacked libperl5.32:arm64 5.32.1-4+deb11u2
2023-05-16 13:37:30 install perl:arm64 <none> 5.32.1-4+deb11u2
2023-05-16 13:37:30 status half-installed perl:arm64 5.32.1-4+deb11u2
2023-05-16 13:37:30 status unpacked perl:arm64 5.32.1-4+deb11u2
2023-05-16 13:37:31 install readline-common:all <none> 8.1-1
2023-05-16 13:37:31 status half-installed readline-common:all 8.1-1
2023-05-16 13:37:34 status unpacked readline-common:all 8.1-1
2023-05-16 13:37:43 install libreadline8:arm64 <none> 8.1-1
2023-05-16 13:37:43 status half-installed libreadline8:arm64 8.1-1
2023-05-16 13:37:54 status unpacked libreadline8:arm64 8.1-1
2023-05-16 13:37:55 install libncurses6:arm64 <none> 6.2+20201114-2+deb11u1
2023-05-16 13:37:55 status half-installed libncurses6:arm64 6.2+20201114-2+deb11u1
2023-05-16 13:37:55 status unpacked libncurses6:arm64 6.2+20201114-2+deb11u1
2023-05-16 13:37:56 install libncursesw6:arm64 <none> 6.2+20201114-2+deb11u1
2023-05-16 13:37:56 status half-installed libncursesw6:arm64 6.2+20201114-2+deb11u1
2023-05-16 13:38:02 status unpacked libncursesw6:arm64 6.2+20201114-2+deb11u1
2023-05-16 13:38:19 install libprocps8:arm64 <none> 2:3.3.17-5
2023-05-16 13:38:19 status half-installed libprocps8:arm64 2:3.3.17-5
2023-05-16 13:38:19 status unpacked libprocps8:arm64 2:3.3.17-5
2023-05-16 13:38:19 install procps:arm64 <none> 2:3.3.17-5
2023-05-16 13:38:19 status half-installed procps:arm64 2:3.3.17-5
2023-05-16 13:38:23 status unpacked procps:arm64 2:3.3.17-5
2023-05-16 13:38:23 install sensible-utils:all <none> 0.0.14
2023-05-16 13:38:23 status half-installed sensible-utils:all 0.0.14
2023-05-16 13:38:24 status unpacked sensible-utils:all 0.0.14
2023-05-16 13:38:24 install openssl:arm64 <none> 1.1.1n-0+deb11u4
2023-05-16 13:38:24 status half-installed openssl:arm64 1.1.1n-0+deb11u4
2023-05-16 13:38:25 status unpacked openssl:arm64 1.1.1n-0+deb11u4
2023-05-16 13:38:26 install ca-certificates:all <none> 20210119
2023-05-16 13:38:26 status half-installed ca-certificates:all 20210119
2023-05-16 13:38:28 status unpacked ca-certificates:all 20210119
2023-05-16 13:38:28 install libmd0:arm64 <none> 1.0.3-3
2023-05-16 13:38:28 status half-installed libmd0:arm64 1.0.3-3
2023-05-16 13:38:29 status unpacked libmd0:arm64 1.0.3-3
2023-05-16 13:38:29 install libbsd0:arm64 <none> 0.11.3-1
2023-05-16 13:38:29 status half-installed libbsd0:arm64 0.11.3-1
2023-05-16 13:38:31 status unpacked libbsd0:arm64 0.11.3-1
2023-05-16 13:38:31 install libedit2:arm64 <none> 3.1-20191231-2+b1
2023-05-16 13:38:31 status half-installed libedit2:arm64 3.1-20191231-2+b1
2023-05-16 13:38:32 status unpacked libedit2:arm64 3.1-20191231-2+b1
2023-05-16 13:38:32 install libcbor0:arm64 <none> 0.5.0+dfsg-2
2023-05-16 13:38:32 status half-installed libcbor0:arm64 0.5.0+dfsg-2
2023-05-16 13:38:33 status unpacked libcbor0:arm64 0.5.0+dfsg-2
2023-05-16 13:38:33 install libfido2-1:arm64 <none> 1.6.0-2
2023-05-16 13:38:33 status half-installed libfido2-1:arm64 1.6.0-2
2023-05-16 13:38:34 status unpacked libfido2-1:arm64 1.6.0-2
2023-05-16 13:38:36 install openssh-client:arm64 <none> 1:8.4p1-5+deb11u1
2023-05-16 13:38:36 status half-installed openssh-client:arm64 1:8.4p1-5+deb11u1
2023-05-16 13:38:37 status unpacked openssh-client:arm64 1:8.4p1-5+deb11u1
2023-05-16 13:38:39 install ucf:all <none> 3.0043
2023-05-16 13:38:39 status half-installed ucf:all 3.0043
2023-05-16 13:38:40 status unpacked ucf:all 3.0043
2023-05-16 13:38:40 install libbrotli1:arm64 <none> 1.0.9-2+b2
2023-05-16 13:38:40 status half-installed libbrotli1:arm64 1.0.9-2+b2
2023-05-16 13:38:41 status unpacked libbrotli1:arm64 1.0.9-2+b2
2023-05-16 13:38:42 install libsasl2-modules-db:arm64 <none> 2.1.27+dfsg-2.1+deb11u1
2023-05-16 13:38:42 status half-installed libsasl2-modules-db:arm64 2.1.27+dfsg-2.1+deb11u1
2023-05-16 13:38:42 status unpacked libsasl2-modules-db:arm64 2.1.27+dfsg-2.1+deb11u1
2023-05-16 13:38:44 install libsasl2-2:arm64 <none> 2.1.27+dfsg-2.1+deb11u1
